method,z_relative_mm,pearson_r_to_target,normalized_rmse_to_target,azimuthal_principal_ring_cv,dark_core_to_ring_mean,centroid_x_um,centroid_y_um
Complete digital-twin correction prediction,-14.0,0.9980880844950258,0.014341834829727786,0.031563388671117215,0.0004490335092722763,1.1955269353852986,-0.22038351066593082
Complete digital-twin correction prediction,-13.0,0.9938862827669356,0.02245452760729781,0.04132652798007117,0.0004680955992237503,1.2504757967635454,-0.6614846168161559
Complete digital-twin correction prediction,-12.0,0.9909661174050569,0.017499363218950133,0.051691572588418284,0.0016806775606470405,-0.6890317084742366,-1.144337153953346
Complete digital-twin correction prediction,-11.0,0.9949970346456913,0.011635348306878473,0.10420897961950865,0.0014717779486931063,-1.4985962478724923,-1.048590643182854
Complete digital-twin correction prediction,-10.0,0.9969796708076469,0.008957638301814334,0.140463343970807,0.0013098508979433971,1.6627443301413032,-0.5885406424394156
Complete digital-twin correction prediction,-9.0,0.9945708512491789,0.01636028370439844,0.13388465451363013,0.0017616796111944496,3.372523124779503,-0.1259495011359046
Complete digital-twin correction prediction,-8.0,0.9814291127975125,0.028668399486147106,0.19306036783731123,0.0030899025576677378,1.4923244133823408,-0.018390499980513793
Complete digital-twin correction prediction,-7.0,0.9269719756845767,0.04493275250584881,0.2859192545593118,0.003690941460402328,-3.6445872809696755,-0.18227412632756776
Complete digital-twin correction prediction,-6.0,0.8796470971207785,0.06591639016295314,0.3664600436846271,0.0039878687847169,-4.391850940286465,0.6439721888824883
Complete digital-twin correction prediction,-5.0,0.9104946465119271,0.04662204151934081,0.3515738429935228,0.0038217632932010534,1.5195042467386677,0.840576442589471
Complete digital-twin correction prediction,-4.0,0.9035028695144223,0.04770464711692398,0.34560513980617863,0.004409207577619684,4.784741144513078,0.804742004776082
Complete digital-twin correction prediction,-3.0,0.8208262778916844,0.06655660920173588,0.3618774232690929,0.012950924755145402,3.412220920244447,0.7006701768292956
Complete digital-twin correction prediction,-2.0,0.5975956234811243,0.08726571838708667,0.38770721390548796,0.022442920358243655,-3.6866163607095683,1.6035270481682884
Complete digital-twin correction prediction,-1.0,0.5122857432034378,0.09515428282250063,0.46878129759592746,0.02265252419705652,-1.372826161229822,3.0421747753648036
Complete digital-twin correction prediction,0.0,0.42313241260065204,0.09034798900543353,0.3670249794628272,0.015940535670462847,1.0480246337467454,2.2508729842163753
Ideal finite-energy target,-17.0,1.0,0.0,0.020666394322486552,0.00046695193787815785,-0.8949263239788399,-0.19383474640884216
Ideal finite-energy target,-16.0,1.0,0.0,0.018693659531883216,0.00047794832184329633,-0.8801985749949277,-0.05145066897244158
Ideal finite-energy target,-15.0,1.0,0.0,0.03024287326701785,0.0002763650660381374,0.39285405692745295,0.06629938434219348
