label,sweep_parameter,sweep_value,compensated,h_channel_overlap_to_required,v_channel_overlap_to_required,pre_axicon_overlap_to_required,pre_axicon_stokes_rms,pre_axicon_alpha_rms,pre_axicon_power_ratio,phase_rms_error_rad_h,first_order_efficiency,zero_order_leakage_after_iris,rejected_power_fraction,reference_z_mm,z60_full_field_correlation,z60_central_crop_correlation,xz_map_correlation_to_v0,angular_profile_correlation_to_v0,c60,c120,c120_minus_c60,dark_core_ratio,ring_island_count,strict_class,best_plane_correlation,best_plane_z_mm,passes,failure_mode,correction
hv_amplitude_ratio_1.05,hv_amplitude_ratio,1.05,False,0.9494866677713865,0.9494859222988107,0.948921788773985,0.5346523231287692,0.5644584016670705,0.9984016247460697,0.0,0.9494978928062533,0.0,0.050502107193746704,60.0,0.9925262145908987,0.9925262334091135,0.9977908300750208,0.9981857853622421,0.8616049814117929,0.8310656932706302,-0.03053928814116269,0.0014294288514554204,0,visual_hexagonal_field,0.9949573569479397,72.575,True,none,
hv_amplitude_ratio_1.1,hv_amplitude_ratio,1.1,False,0.9494866677713865,0.9494859222988098,0.9473381206818146,0.5604485112588221,0.5644584016670706,1.0494495039110858,0.0,0.9494978890556465,0.0,0.05050211094435353,60.0,0.9910645751695459,0.9910645936377859,0.9977895863254778,0.9964810073840353,0.8607179851098881,0.8291040250143492,-0.03161396009553885,0.0013751948453846017,0,visual_hexagonal_field,0.9934716131381062,72.575,True,none,
hv_amplitude_ratio_1.2,hv_amplitude_ratio,1.2,False,0.9494866677713865,0.9494859222988095,0.9417035913701297,0.6498745971122118,0.5644584016670705,1.1586682221246074,0.0,0.9494978821410456,0.0,0.05050211785895442,60.0,0.9859726614846357,0.9859726787560902,0.9977841211824516,0.9905100273164108,0.8549218454988394,0.8226391784963675,-0.032282667002471954,0.0012858404172175644,0,visual_hexagonal_field,0.9883326563197645,72.575,True,none,
qwp_angle_error_deg_-2.0,qwp_angle_error_deg,-2.0,False,0.9494866677713865,0.9494859222988109,0.9471752239179899,0.5282981414260547,0.5651019763096068,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576320357246,0.9930576509868313,0.997790835284678,0.9987874994676645,0.8607931302789584,0.8319264642953644,-0.028866665983593998,0.0014313747758094924,0,visual_hexagonal_field,0.9955123415235413,72.575,True,none,
qwp_angle_error_deg_-1.0,qwp_angle_error_deg,-1.0,False,0.9494866677713865,0.9494859222988109,0.948908192351459,0.5238357479177714,0.5646157576842432,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576653137264,0.9930576842648341,0.9977908336448009,0.9987874604732636,0.8607940489774532,0.8319275808694229,-0.028866468108030285,0.0014617551364925357,0,visual_hexagonal_field,0.9955123452171795,72.575,True,none,
qwp_angle_error_deg_-0.5,qwp_angle_error_deg,-0.5,False,0.9494866677713865,0.9494859222988109,0.9493417944388207,0.5227150094982027,0.564497028886267,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576819759082,0.9930577009270165,0.9977908326656604,0.9987874416608833,0.8607945040462582,0.8319281345240066,-0.028866369522251634,0.001476790090679706,0,visual_hexagonal_field,0.9955123471498138,72.575,True,none,
qwp_angle_error_deg_-0.25,qwp_angle_error_deg,-0.25,False,0.9494866677713865,0.9494859222988109,0.9494501944472389,0.5224354605107501,0.5644679917825682,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576903799238,0.9930577093310324,0.9977908322528438,0.9987874318338772,0.8607947312498252,0.8319284127075242,-0.02886631854230104,0.0014842638385975451,0,visual_hexagonal_field,0.9955123480771346,72.575,True,none,
qwp_angle_error_deg_-0.1,qwp_angle_error_deg,-0.1,False,0.9494866677713865,0.9494859222988109,0.9494805314603031,0.5223578599904658,0.5644598404791955,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576951008644,0.9930577140519733,0.9977908319600101,0.9987874261626223,0.8607948599784461,0.8319285733840721,-0.028866286594373958,0.0014887333437158623,0,visual_hexagonal_field,0.9955123487415427,72.575,True,none,
qwp_angle_error_deg_0.0,qwp_angle_error_deg,0.0,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
qwp_angle_error_deg_0.1,qwp_angle_error_deg,0.1,False,0.9494866677713865,0.9494859222988109,0.9494804893662884,0.5223596298467101,0.5644608355380021,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930577019946156,0.993057720945725,0.9977908317184908,0.9987874183848033,0.8607950430123386,0.8319287959987934,-0.02886624701354512,0.001494674710891079,0,visual_hexagonal_field,0.9955123494338006,72.575,True,none,
qwp_angle_error_deg_0.25,qwp_angle_error_deg,0.25,False,0.9494866677713865,0.9494859222988109,0.9494500892150097,0.5224398878763861,0.564470853338543,0.9497280655422173,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930577068799922,0.9930577258311014,0.9977908313032064,0.9987874121417621,0.8607951779395384,0.8319289606271528,-0.02886621731238559,0.001499116954131644,0,visual_hexagonal_field,0.9955123498386012,72.575,True,none,
qwp_angle_error_deg_0.5,qwp_angle_error_deg,0.5,False,0.9494866677713865,0.9494859222988109,0.9493415839944276,0.5227238836807123,0.564501570827543,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930577151739269,0.9930577341250364,0.9977908308239491,0.9987874026388588,0.8607954004781492,0.83192923366822,-0.02886616680992915,0.0015064932145880145,0,visual_hexagonal_field,0.9955123507377476,72.575,True,none,
